word embeddings,RND_SOS ,RND_SOS_women,RND_SOS_lgbtq ,RND_SOS_eth,RND_Gender_bias ,RND_Racial_bias
w2v,0.017181,0.065988,0.374509,0.108392,0.087666,0.15134
glove-wk,0.213934,0.235874,0.403162,0.065026,0.204028,0.253914
glove-twitter,0.087231,0.171841,0,0.225473,0.127685,0.179578
UD,0.027974,0.050763,0.973574,0.12652,0.051982,0.196933
Chan,0.823575,4.041449,5.855191,2.148778,1.666596,2.572293
Glove-CC,0.138193,0.080968,0.501117,0.126138,0.140001,0.216269
Glove-CC-large,0.140825,0.102609,1.292287,0.206265,0.182953,0.162707
FastText-CC,0.023128,0.024758,1.075474,0.0715,0.078313,0.238755
FastText-CC-subwords,0.024883,0.06029,0.048374,0.076536,0.048332,0.088536
FastText-wiki,0.01526,0.022077,0.298911,0.025897,0.038104,0.086961
FastText-wiki-subwords,0.004786,0.033635,0.028963,0.03922,0.029283,0.045902
SSWE,0.348923,0.050319,0,0.306853,0.119304,0.196185
Debias-W2v,0.004776,0.009826,0.120005,0.011517,0.003118,0.0276
P-DESIP,0.044979,0.265781,0.984629,0.027578,0.026293,0.277304
U-DESIP,0.060498,0.265619,0.983652,0.011194,0.026729,0.268488
