word embeddings,mean_SOS_min,mean_SOS_maj,mean_SOS_women,mean_SOS_lgbtq,mean_SOS_eth,mean_SOS_men,mean_SOS_straight,mean_SOS_white,gender_diff,so_diff,racial_diff
w2v,0.41828001216054,0.340474235426102,0.293095774416413,0.475243949890137,0.456611298024654,0.209484062822802,0.5,0.390297542015711,0.083611711593611,-0.024756050109863,0.066313756008943
glove-wk,0.464788318872452,0.26020807819441,0.435229226946831,0.66975702047348,0.234441647306085,0.34706771160875,0.5,0.169574638401779,0.088161515338081,0.16975702047348,0.064867008904306
glove-twitter,0.520614901185036,0.376773256276335,0.679759246962411,0.454162396490574,0.46442922949791,0.447004255439554,0,0.398600716143847,0.232754991522857,0.454162396490574,0.065828513354063
UD,0.466348956525326,0.319526096185048,0.509857712047441,0.582653814554215,0.282897722907364,0.436692333647183,0.361819565296173,0.244130212813616,0.073165378400258,0.220834249258042,0.038767510093748
Chan,0.597711027264595,0.373627132159613,0.880598340715681,0.616869872808456,0.326236071065068,0.699678267751421,0.414260849356651,0.176658350198219,0.18092007296426,0.202609023451805,0.149577720866849
Glove-CC,0.493937849998474,0.339557101329168,0.56759164588792,0.480604147911072,0.446157906204462,0.462783877338682,0.195433795452118,0.291695366303126,0.104807768549238,0.285170352458954,0.154462539901336
Glove-CC-large,0.453620858639479,0.252139065858154,0.318005534155028,0.472916105017066,0.548165209591389,0.19204583737467,0.302914969623089,0.278730798512697,0.125959696780358,0.170001135393977,0.269434411078692
FastText-CC,0.439120583683252,0.301324773402441,0.284725694251912,0.503249396383762,0.494055096060038,0.215422719717026,0.542253881692886,0.311279453337193,0.069302974534886,-0.039004485309124,0.182775642722845
FastText-CC-subwords,0.480555731207132,0.384067698603585,0.473682825054441,0.445008853450418,0.531003121286631,0.422836557030678,0.277078971266747,0.37928398574392,0.050846268023763,0.167929882183671,0.151719135542711
FastText-wiki,0.496258065104485,0.385732309804076,0.528552608830588,0.555824555456638,0.393542226403952,0.483672291040421,0.762665271759033,0.265778493757049,0.044880317790167,-0.206840716302395,0.127763732646903
FastText-wiki-subwords,0.632133133411407,0.635286602235976,0.684124367577689,0.65671061873436,0.555918946862221,0.684054523706436,0.798709094524384,0.579601565996806,6.98438712529725E-05,-0.141998475790024,-0.023682619134585
SSWE,0.569212704002857,0.537063617081869,0.619862181799752,0.438223151117563,0.688631352037191,0.651071684701102,0,0.560069513817628,-0.0312095029013499,0.438223151117563,0.128561838219563
Debias-W2v,0.386875107437372,0.356197864172004,0.205135912235294,0.446280413866043,0.471640270203352,0.204679537032332,0.5,0.420616532365481,0.000456375202962017,-0.053719586133957,0.051023737837871
P-DESIP,0.434604221284389,0.299722731335177,0.266524758722101,0.615956741571426,0.354983100667596,0.220068165899387,0.491523593664169,0.314221084117889,0.046456592822714,0.124433147907257,0.040762016549707
U-DESIP,0.431093449890614,0.283833737396413,0.266603545418807,0.61628545820713,0.343532105907798,0.220256497418242,0.492851763963699,0.29918260872364,0.046347048000565,0.123433694243431,0.044349497184158
