word embeddings,WEAT_SOS ,WEAT_SOS_women ,WEAT_SOS_lgbtq ,WEAT_SOS_eth ,WEAT_Gender bias,WEAT_Racial bias
w2v,0.234227,0.046077,0.824543,0.636393,0.778421,0.17977
glove-wk,0.351923,0.05104,0.0013,0.302182,0.89328,0.439381
glove-twitter,0.618315,0.054989,0,0.189505,0.407471,0.275816
UD,0.381154,0.032825,0.412504,0.001476,0.346125,0.093028
Chan,1.14969,0.114028,0.59377,0.441893,0.699857,0.271122
Glove-CC,0.714905,0.083421,0.003025,0.628459,0.682374,0.476342
Glove-CC-large,1.008455,0.113754,0.620569,0.274132,0.841814,0.195866
FastText-CC,0.523457,0.019011,0.691166,0.148698,0.592093,0.084091
FastText-CC-subwords,0.337684,0.024218,0.44933,0.087427,0.434877,0.082642
FastText-wiki,0.1646,0.06153,0.454231,0.228101,0.464644,0.110552
FastText-wiki-subwords,0.171955,0.044221,0.30425,0.088074,0.429728,0.162086
SSWE,1.675424,0.110054,0,1.765366,0.293374,0.78247
Debias-W2v,0.14075,0.003613,0.79551,0.651147,0.079471,0.171114
P-DESIP,0.04633,0.020151,0.037575,0.063753,0.107472,0.294613
U-DESIP,0.057197,0.019976,0.039294,0.076516,0.107393,0.303094
