survey,WE,WEAT,RNSB,RND,ECT,Our_metric
RAD,w2v,-0.88,-0.73,-0.39,-0.11,-0.96
RAD,Glove-wk,-0.57,-0.89,0.24,-0.29,0.15
RAD,Glove-Twitter,-0.46,0.55,0.05,-0.2,0.9
RAD,UD,-0.21,-0.41,-0.34,-0.98,0.84
RAD,Chan,-0.84,0.77,0.25,-0.74,0.98
COX,w2v,-0.98,-0.17,-0.87,-0.69,-0.6
COX,Glove-wk,0.03,-0.44,-0.39,-0.81,-0.48
COX,Glove-Twitter,0.17,0.94,0.64,0.42,0.97
COX,UD,-0.76,-0.88,-0.84,-0.88,0.34
COX,Chan,-0.99,0.99,-0.38,-0.99,0.66
OEOH-US,w2v,0.98,0.5,0.64,0.4,0.84
OEOH-US,Glove-wk,0.31,0.72,0.04,0.55,0.13
OEOH-US,Glove-Twitter,0.18,-0.77,-0.33,-0.08,-0.98
OEOH-US,UD,0.48,0.66,0.6,0.99,-0.65
OEOH-US,Chan,0.96,-0.92,0.04,0.9,-0.88
OEOH-GR,w2v,0.98,0.5,0.65,0.4,0.83
OEOH-GR,Glove-wk,0.3,0.72,0.05,0.56,0.14
OEOH-GR,Glove-Twitter,0.17,-0.77,-0.34,-0.09,-0.99
OEOH-GR,UD,0.49,0.66,0.61,0.99,-0.64
OEOH-GR,Chan,0.96,-0.92,0.04,0.91,-0.88
OEOH-Fin,w2v,0.94,0.62,0.53,0.26,0.9
OEOH-Fin,Glove-wk,0.43,0.81,-0.09,0.43,-0.002
OEOH-Fin,Glove-Twitter,0.31,-0.67,-0.2,0.05,-0.96
OEOH-Fin,UD,0.36,0.55,0.48,0.99,-0.74
OEOH-Fin,Chan,0.92,-0.86,-0.09,0.84,-0.94
OEOH-UK,w2v,0.92,0.66,0.48,0.21,0.93
OEOH-UK,Glove-wk,0.49,0.84,-0.14,0.38,-0.05
OEOH-UK,Glove-Twitter,0.37,-0.63,-0.15,0.1,-0.94
OEOH-UK,UD,0.3,0.5,0.43,0.99,-0.78
OEOH-UK,Chan,0.89,-0.82,-0.15,0.81,-0.95
