,words,sim_score
0,and,0.4039786159992218
1,but,0.49450671672821045
2,as,0.35578057169914246
3,until,0.36015763878822327
4,while,0.6317620873451233
5,of,0.018463457003235817
6,at,0.26806017756462097
7,by,0.126501202583313
8,for,0.06018766015768051
9,with,0.33925729990005493
10,about,0.3111531436443329
11,against,0.08820755034685135
12,between,0.0
13,into,0.23640547692775726
14,through,0.04946383088827133
15,during,0.00823193695396185
16,before,0.2849181592464447
17,after,0.15749169886112213
18,time,0.695308268070221
19,year,0.569846510887146
20,people,0.5745581984519958
21,day,0.7546605467796326
22,child,1.0
23,work,0.7223986387252808
24,life,0.8686056733131409
25,thing,0.7861360311508179
26,world,0.4273569881916046
27,way,0.725745439529419
28,back,0.7038630247116089
