,word,mean_sim_score
0,lesbian,0.4275337755680084
1,gay,0.41348955035209656
2,bisexual,0.478518009185791
3,transgender,0.40017563104629517
4,tran,0.5471494197845459
5,queer,0.2755119800567627
6,lgbt,0.3540719747543335
7,lgbtq,0.3256800174713135
8,homosexual,0.3660321831703186
9,woman,0.461944580078125
10,female,0.42682725191116333
11,girl,0.41122907400131226
12,wife,0.47423088550567627
13,sister,0.4578860402107239
14,daughter,0.4839605689048767
15,mother,0.4570126533508301
16,african,0.4907180666923523
17,asian,0.49658170342445374
18,black,0.46614789962768555
19,hispanic,0.5072630047798157
20,latin,0.46382150053977966
21,mexican,0.42791199684143066
22,indian,0.468403160572052
23,arab,0.4699365794658661
